Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Pen Flinger,7.6,1.9,56.5,150,000
Spirit Jailer,15.2,2,55.0,120,000
Runed Orb,16.0,2,52.9,100,000
Hysteria,20.8,1.9,52.6,100,000
Primordial Studies,16.2,2,53.4,100,000
Armor Vendor,13.4,1.9,55.3,100,000
Soul Shear,14.7,1.9,54.5,100,000
Drain Soul,14.8,2,54.7,100,000
Luckysoul Hoarder,14.4,1.9,55.2,100,000
Wolpertinger,15.8,2,62.9,96,000
Strongman,15.2,2,55.4,96,000
Adorable Infestation,19.2,2,62.1,96,000
Trampling Rhino,16.8,2,62.0,94,000
Incanter's Flow,14.0,2,53.5,92,000
Brain Freeze,15.8,1.9,53.1,91,000
Demon Companion,16.0,2,62.7,90,000
Intrepid Initiate,16.7,2,62.6,87,000
Refreshing Spring Water,14.2,2,53.5,87,000
Taelan Fordring,27.6,1,55.2,85,000
Hand of A'dal,11.8,2,60.5,84,000
Font of Power,12.9,2,54.3,83,000
School Spirits,14.3,1.9,54.9,83,000
Ogremancer,14.5,1.8,56.2,80,000
Imprisoned Felmaw,15.2,2,63.1,80,000
Tracking,17.0,2,61.6,79,000
First Day of School,11.6,2,60.9,77,000
Venomous Scorpid,12.2,1.8,53.4,77,000
Wound Prey,16.0,2,62.5,76,000
Quick Shot,16.9,2,61.8,73,000
Arcane Intellect,14.9,1.9,52.9,73,000
Knight of Anointment,10.5,2,61.1,72,000
Wandmaker,10.4,1.9,52.3,72,000
Apexis Blast,12.6,1.9,54.3,71,000
Fireball,14.8,2,53.1,71,000
Devolving Missiles,14.8,1.9,53.3,71,000
Far Watch Post,9.9,1.9,52.1,65,000
Cram Session,13.0,1.9,53.9,64,000
Sword of the Fallen,10.5,2,61.1,64,000
Piercing Shot,15.9,2,62.3,64,000
Mankrik,19.3,1,58.0,61,000
Northwatch Commander,10.4,2,61.1,59,000
Scavenger's Ingenuity,10.6,2,59.5,55,000
Libram of Wisdom,6.9,2,59.2,52,000
Avenge,10.5,1.8,60.7,52,000
Twisting Nether,14.9,1.7,54.7,52,000
Aldor Attendant,6.9,2,59.3,51,000
Kazakus, Golem Shaper,15.2,1,57.7,49,000
Illidari Studies,7.1,2,54.3,49,000
Palm Reading,6.6,2,47.1,49,000
Mask of C'Thun,12.3,1.8,54.1,48,000
Wand Thief,6.0,1.9,48.3,48,000
Renew,6.8,2,47.1,47,000
Chaos Strike,7.0,2,53.5,47,000
Ring Toss,10.6,1.8,53.3,47,000
Aldor Truthseeker,6.9,2,59.3,46,000
Combustion,9.9,1.8,53.6,45,000
Tickatus,14.2,1,54.9,44,000
Tour Guide,9.0,2,59.1,44,000
Soulciologist Malicia,13.1,1,55.7,44,000
Lightning Bloom,9.2,2,53.6,42,000
Lord Jaraxxus,15.2,1,54.6,42,000
Crabrider,7.3,2,60.3,41,000
Siphon Soul,7.6,1.7,53.4,40,000
Warsong Wrangler,8.6,1.9,63.1,39,000
Aldrachi Warblades,6.6,2,53.6,38,000
Oh My Yogg!,10.2,1.6,61.0,38,000
Knife Vendor,12.7,1.6,63.0,37,000
Nature Studies,5.7,2,53.4,36,000
Galloping Savior,9.0,1.7,61.5,36,000
Libram of Hope,6.9,2,59.3,35,000
Insight,5.5,1.9,47.1,35,000
Tamsin Roame,11.6,1,55.4,35,000
Kolkar Pack Runner,7.5,1.9,64.8,35,000
Flamestrike,13.9,1.5,53.2,35,000
Draconic Studies,4.8,1.9,47.9,35,000
Alexstrasza the Life-Binder,14.2,1,53.8,34,000
Arcane Shot,7.6,1.9,63.6,34,000
Mor'shan Watch Post,6.0,1.8,50.2,34,000
Battlefiend,4.7,2,54.5,33,000
Skull of Gul'dan,7.5,1.9,54.3,33,000
Cascading Disaster,13.5,1.9,55.0,32,000
Libram of Justice,6.8,1.8,59.3,32,000
Deck of Lunacy,9.8,1,53.3,32,000
Swindle,4.4,2,48.3,32,000
Scrap Shot,8.0,1.9,60.7,32,000
Apotheosis,6.2,1.8,47.2,32,000
Innervate,6.3,2,54.3,31,000
Fury (Rank 1),5.6,2,55.3,31,000
Holy Smite,5.1,1.8,46.7,31,000
Headhunter's Hatchet,9.9,1.4,60.6,31,000
Sethekk Veilweaver,4.6,1.9,47.4,31,000
Netherwind Portal,7.2,1.5,54.0,31,000
Raise Dead,6.3,1.8,46.9,30,000
Rinling's Rifle,12.7,1,63.1,30,000
Relentless Pursuit,5.4,2,55.6,30,000
Y'Shaarj, the Defiler,14.2,1,54.9,29,000
Eye Beam,4.7,2,53.3,29,000
Thrive in the Shadows,4.3,1.9,46.5,27,000
Envoy Rustwix,8.4,1,53.2,26,000
Wicked Stab (Rank 1),4.0,2,49.1,26,000
Prize Plunderer,3.6,2,49.2,25,000
Manafeeder Panthara,4.3,1.8,54.4,25,000
Conviction (Rank 1),4.8,1.9,62.7,24,000
Bladed Lady,5.1,2,56.0,24,000
Guess the Weight,4.9,1.8,55.7,23,000
Illidari Inquisitor,5.8,1.9,55.3,23,000
Lunar Eclipse,4.5,1.9,54.3,22,000
Righteous Protector,3.8,1.9,60.1,22,000
Wildfire,3.2,1.9,47.8,22,000
Cutting Class,3.6,1.9,48.8,21,000
Secret Passage,4.1,1.9,49.0,21,000
Athletic Studies,3.1,2,53.6,21,000
Cone of Cold,5.2,1.6,50.4,21,000
Goody Two-Shields,4.4,1.9,60.9,21,000
Stage Dive,3.6,1.8,53.0,21,000
Death's Head Cultist,3.8,1.8,51.6,20,000
Cult Neophyte,3.4,1.8,54.2,20,000
Crossroads Gossiper,4.2,1.8,61.2,20,000
Thorngrowth Sentries,3.7,2,57.4,20,000
Free Admission,4.7,1.2,53.4,20,000
Shadowstep,3.1,1.9,47.5,19,000
Solar Eclipse,4.6,1.9,54.1,19,000
Outrider's Axe,3.7,1.9,51.9,19,000
Sword Eater,3.4,1.9,53.2,19,000
Overgrowth,3.6,2,48.3,19,000
Noble Sacrifice,5.0,1.6,61.3,18,000
Fungal Fortunes,3.8,2,56.0,18,000
Nazmani Bloodweaver,2.6,1.8,45.7,18,000
Acidic Swamp Ooze,5.2,1.2,49.6,17,000
Arbor Up,3.9,2,57.1,17,000
Power of the Wild,3.6,2,57.7,17,000
Warglaives of Azzinoth,3.8,2,55.7,17,000
Wild Growth,3.3,1.9,48.4,17,000
Gibberling,3.5,2,58.3,17,000
Efficient Octo-bot,2.4,1.9,48.6,17,000
Blademaster Samuro,6.4,1,51.0,17,000
Condemn (Rank 1),3.4,1.7,47.9,16,000
Ice Barrier,4.1,1.4,50.7,16,000
Bumper Car,2.3,2,56.7,16,000
Felfire Deadeye,2.6,1.9,56.0,15,000
Babbling Book,2.3,1.9,47.7,15,000
Deadly Poison,1.9,2,47.2,15,000
Shadow Word: Death,4.2,1.4,47.4,15,000
Preparation,2.3,1.9,46.0,14,000
Field Contact,2.2,1.9,47.7,14,000
Glowfly Swarm,3.4,2,58.4,14,000
Guardian Animals,2.9,1.9,51.6,13,000
Hammer of the Naaru,3.8,1.7,64.5,13,000
Survival of the Fittest,2.8,1.9,51.2,13,000
Cagematch Custodian,2.9,1.7,54.6,13,000
Animated Broomstick,3.0,1.8,52.3,12,000
Xyrella,4.7,1,47.6,12,000
Lady Liadrin,6.1,1,59.9,12,000
Reckless Apprentice,2.2,1.9,46.1,12,000
Whack-A-Gnoll Hammer,1.9,1.9,55.1,12,000
Jandice Barov,3.5,1,50.0,12,000
Demonic Studies,1.8,1.8,48.0,12,000
Bloodmage Thalnos,3.7,1,45.8,12,000
Sinister Strike,1.7,2,47.0,12,000
Rally!,2.6,1.9,47.6,12,000
Conditioning (Rank 1),2.3,1.9,55.1,12,000
Spectral Sight,1.7,1.9,46.1,12,000
Overlord Runthak,4.0,1,51.1,12,000
Barak Kodobane,6.5,1,65.3,11,000
Gift of Luminance,2.4,1.7,45.9,11,000
Pride's Fury,3.4,1.9,58.1,11,000
Primordial Protector,2.8,1.8,52.6,11,000
Paralytic Poison,1.5,1.9,47.3,10,000
Parade Leader,2.1,1.9,57.7,10,000
Serpentshrine Portal,2.1,1.9,53.4,10,000
Sunreaver Spy,1.8,1.9,55.6,10,000
Felosophy,1.7,1.7,46.6,10,000
Selective Breeder,1.9,1.9,47.9,10,000
Playmaker,2.1,1.9,56.8,10,000
Shooting Star,2.0,1.7,49.9,9,900
Twilight Runner,3.0,2,51.3,9,900
Gan'arg Glaivesmith,1.7,1.9,52.2,9,800
Ysera the Dreamer,5.5,1,47.5,9,800
Soul of the Forest,3.4,1.9,58.0,9,700
Counterspell,2.5,1.4,48.9,9,600
Stonemaul Anchorman,1.7,1.8,49.5,9,600
Guardian Augmerchant,1.6,1.9,51.3,9,500
Mortal Coil,1.6,1.7,48.1,9,400
Voracious Reader,2.6,1.9,53.9,9,300
Coerce,2.3,1.5,46.3,9,300
Power Word: Fortitude,1.7,1.9,46.5,9,200
Soul Mirror,3.6,1,47.6,9,100
Silverleaf Poison,1.5,1.9,47.3,9,100
Razorfen Beastmaster,1.8,2,55.2,8,900
Tame Beast (Rank 1),2.1,1.9,54.2,8,900
Marrowslicer,1.6,1.9,53.6,8,800
Mo'arg Artificer,1.5,1.8,48.9,8,800
Firebrand,1.6,1.8,50.3,8,800
Druid of the Plains,2.2,1.8,51.0,8,300
Sunscale Raptor,1.5,1.8,52.2,8,300
Immolation Aura,1.3,1.9,48.6,8,300
Kargath Bladefist,2.1,1,48.6,8,000
Doomhammer,1.5,1.9,53.1,8,000
Backfire,2.1,1.3,50.5,7,900
Sword and Board,1.2,1.9,45.3,7,800
Rokara,2.4,1,55.2,7,800
Carnival Clown,2.6,1.9,51.6,7,700
Nourish,1.7,1.9,40.9,7,700
Renowned Performer,1.9,2,55.4,7,700
Lab Partner,1.2,1.8,50.5,7,600
Dirty Tricks,1.3,1.9,48.1,7,600
Desperate Prayer,1.4,1.7,46.8,7,600
Malygos the Spellweaver,4.1,1,44.3,7,500
Raging Felscreamer,1.6,1.5,49.1,7,500
Loot Hoarder,1.3,1.8,40.3,7,500
Trueaim Crescent,1.6,1.8,53.4,7,400
Lightning Bolt,1.6,2,50.4,7,400
Teacher's Pet,1.9,1.6,48.5,7,300
Horde Operative,2.5,1.2,48.1,7,300
Fallen Hero,1.3,1.9,43.4,7,300
Swinetusk Shank,1.5,1.9,47.8,7,200
Circus Amalgam,1.4,1.8,45.1,7,200
Razorboar,1.2,2,54.8,7,200
