Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Incanter's Flow,12.5,2,59.2,59,000
Sorcerer's Apprentice,11.7,2,60.0,49,000
Refreshing Spring Water,12.0,2,59.8,49,000
Frostbolt,12.7,1.9,59.3,49,000
Research Project,11.4,2,59.8,48,000
Conjure Mana Biscuit,10.9,2,60.4,48,000
Runed Orb,11.5,1.9,59.5,46,000
Magic Trick,10.8,1.9,59.9,45,000
Ray of Frost,11.7,1.9,59.7,43,000
Primordial Glyph,10.1,1.9,59.7,41,000
Flamewaker,8.7,2,61.2,38,000
Ice Lance,9.9,2,61.3,36,000
Arcane Intellect,7.7,1.9,58.1,29,000
Coldlight Oracle,6.8,1.7,48.7,28,000
Arcane Intellect,7.3,1.8,58.0,27,000
Ice Block,8.9,1.4,59.0,24,000
Zephrys the Great,13.2,1,57.8,23,000
Arcane Missiles,6.3,1.9,59.6,23,000
Palm Reading,7.5,1.6,57.1,22,000
Ancient Mysteries,6.7,1.6,61.9,21,000
Shadow Visions,7.6,1.5,58.1,20,000
Armor Vendor,5.7,1.6,55.1,19,000
Crabrider,6.6,1.9,68.3,19,000
Wand Thief,5.1,1.6,51.5,18,000
Devolving Missiles,7.9,1.4,57.4,18,000
Raise Dead,9.1,1.4,54.9,18,000
Hysteria,9.4,1.5,57.5,18,000
Pen Flinger,3.1,1.4,57.9,17,000
Far Watch Post,5.7,1.7,57.6,17,000
Kobold Librarian,4.4,1.8,58.6,16,000
Hand of A'dal,4.9,1.9,63.1,16,000
Swindle,4.8,1.8,52.9,16,000
Tour Guide,5.8,1.7,57.1,16,000
Renew,5.8,1.6,54.3,15,000
Khartut Defender,6.6,1.4,52.6,15,000
Stargazer Luna,8.3,1,61.7,14,000
Ferocious Howl,3.5,1.9,52.8,14,000
Cram Session,4.1,1.9,58.6,14,000
Mad Scientist,5.2,1.7,64.2,14,000
Frost Nova,4.1,1.7,53.7,14,000
Kazakus,7.3,1,59.2,14,000
Nature Studies,3.7,1.8,52.4,14,000
Novice Engineer,4.6,1.5,52.8,13,000
Explosive Runes,3.9,1.8,65.2,13,000
Penance,6.1,1.4,59.1,13,000
Lightning Bloom,5.0,1.8,52.4,13,000
Dirty Rat,6.7,1.1,57.1,12,000
Reno Jackson,12.2,1,57.2,12,000
Spirit Jailer,3.2,1.9,50.4,12,000
Zilliax,8.1,1,55.0,12,000
Taelan Fordring,7.6,1,54.1,12,000
Branching Paths,3.3,1.9,54.3,12,000
Crystology,3.8,1.9,65.9,11,000
Rigged Faire Game,3.9,1.6,64.5,11,000
Brann Bronzebeard,7.7,1,54.0,11,000
Overgrowth,3.5,1.8,51.3,11,000
Knight of Anointment,3.0,1.9,57.0,11,000
Secret Passage,4.6,1.7,53.8,11,000
Shadowstep,3.5,1.8,53.3,10,000
Glacial Shard,3.8,1.5,58.6,10,000
Shadow Essence,3.6,1.9,58.2,10,000
Insight,4.2,1.4,54.7,10,000
Kabal Lackey,3.3,1.9,68.0,10,000
Kirin Tor Mage,3.5,1.9,67.5,10,000
Shadowstep,3.3,1.8,47.5,10,000
Animated Broomstick,4.7,1.7,57.5,10,000
Southsea Deckhand,3.3,1.9,60.2,10,000
Medivh's Valet,3.3,1.9,68.0,9,900
Oaken Summons,2.3,2,55.2,9,900
Doomsayer,3.8,1.4,51.6,9,800
Kabal Crystal Runner,3.2,1.9,68.2,9,700
Emperor Thaurissan,6.2,1,50.6,9,600
Sap,3.8,1.6,51.0,9,600
Drain Soul,3.3,1.6,54.4,9,500
Defile,5.0,1.5,56.5,9,500
Righteous Protector,2.7,1.9,63.7,9,400
Primordial Studies,2.7,1.7,52.4,9,400
Soul Shear,3.0,1.8,48.8,9,400
Flame Ward,4.6,1.2,58.8,9,400
Vanish,4.0,1.7,50.0,9,400
First Day of School,2.9,1.9,63.6,9,300
Archmage Vargoth,6.5,1,55.9,9,300
Bloodmage Thalnos,5.0,1,51.2,9,200
Venomous Scorpid,3.3,1.6,50.0,9,100
Thrive in the Shadows,3.6,1.5,57.5,9,100
Shield Block,2.9,1.8,45.3,9,000
Preparation,2.9,1.8,49.2,8,900
Fireball,3.9,1.8,60.0,8,900
Loatheb,6.3,1,57.8,8,800
Prize Vendor,2.1,1.8,47.4,8,700
Mass Hysteria,6.5,1.3,58.3,8,700
Netherwind Portal,3.5,1.3,63.5,8,700
Demon Companion,3.3,1.8,58.3,8,600
Mistress of Mixtures,2.7,1.4,55.3,8,500
Brain Freeze,2.9,1.6,50.3,8,500
Preparation,2.7,1.8,55.8,8,500
Illidari Studies,2.8,1.8,52.2,8,400
Cutting Class,2.8,1.8,52.7,8,400
Mankrik,4.7,1,53.9,8,300
Raza the Chained,3.5,1,60.9,8,300
Biology Project,2.2,1.9,50.0,8,200
Cloud Prince,3.6,1.9,66.7,8,200
Eviscerate,2.7,1.7,51.8,8,200
Evocation,6.3,1,60.5,8,000
Spirit Lash,4.8,1.3,59.2,8,000
Swipe,2.5,1.8,53.0,8,000
Acolyte of Pain,3.2,1.3,52.2,7,900
Convincing Infiltrator,2.8,1.6,51.5,7,900
Eternal Servitude,3.9,1.8,57.1,7,900
Dark Skies,3.8,1.4,56.3,7,800
Counterspell,2.6,1.7,63.0,7,800
Resurrect,3.4,1.9,56.7,7,800
Sword of the Fallen,2.6,2,64.3,7,800
Naturalize,2.5,1.7,49.4,7,800
Arcane Flakmage,3.3,1.9,67.6,7,800
Bad Luck Albatross,3.0,1.6,56.2,7,700
Breath of the Infinite,4.2,1.4,58.2,7,600
Solar Eclipse,2.7,1.8,51.3,7,600
Wildfire,2.2,1.6,53.5,7,600
Manafeeder Panthara,2.7,1.7,53.9,7,500
Lab Recruiter,2.4,1.7,47.6,7,400
Backstab,2.3,1.7,51.1,7,400
Questing Explorer,2.2,1.7,55.8,7,400
Intrepid Initiate,2.9,1.9,61.7,7,300
Cavern Shinyfinder,2.4,1.7,53.5,7,300
Aldor Attendant,1.8,2,56.4,7,300
Shadowreaper Anduin,3.9,1,59.9,7,200
